,Absorber Layer,PCE_value,PCE_error,Voc_value,Voc_error,Jsc_value,Jsc_error,FF_value,FF_error
1310,P0F:PC71BM (1:2),5.04,,0.68,,10.12,,51.0,"(51.0, None)"
1311,P2F:PC71BM (1:2),6.38,,0.7,,11.2,,56.99999999999999,"(56.99999999999999, None)"
1312,mp-TiO2,11.1,,0.9,,18.73,,65.73,"(65.73, None)"
1313,mp-TiO2-La2O3,15.81,,1.01,,20.84,,74.64,"(74.64, None)"
1314,Lawsone,0.68,,0.49,,0.59,,60.0,"(60.0, None)"
1315,Polymer:PC71BM,4.51,,0.83,,10.24,,66.3,"(66.3, None)"
1316,PBDT-DTBO:PC71BM,5.63,,0.83,,10.24,,66.3,"(66.3, None)"
1317,PCE10:YF-CN,1.41,,0.839,,4.97,,33.78,"(33.78, None)"
1318,YF-CN:Y6,1.44,,0.785,,5.53,,33.17,"(33.17, None)"
1319,PCE10:Y6,10.93,,0.673,,25.32,,64.19,"(64.19, None)"
1320,PCE10:YF-CN:Y6,12.03,,0.683,,27.92,,63.11,"(63.11, None)"
1321,CH3NH3PbI3,12.3,,1.08,,18.8,,60.3,"(60.3, None)"
1322,PTBzT2-C12:PCBM,5.2,,0.7,,11.3,,65.0,"(65.0, None)"
1323,CdS–Cu2S,0.405,,0.245,,0.152,,44.5,"(44.5, None)"
1324,DTDCTP,6.4,,0.95,,12.1,,56.00000000000001,"(56.00000000000001, None)"
1325,PTB7-Th,7.3,,0.87,,14.6,,70.0,"(70.0, None)"
1326,Not provided,4.06,,0.6,,12.92,,52.0,"(52.0, None)"
1327,NiO:5K,18.05,,1.014,,22.77,,78.16,"(78.16, None)"
1328,MAPbI3,12.79,,0.98,,21.08,,61.9,"(61.9, None)"
1329,MAPbI3,15.41,,1.03,,22.49,,66.5,"(66.5, None)"
1330,MAPbI3,17.26,,1.06,,22.74,,71.6,"(71.6, None)"
1331,MAPbI3,10.2,,1.0,,18.93,,54.0,"(54.0, None)"
1332,Cs3Bi2I9,3.2,,0.62,,8.5,,45.0,"(45.0, None)"
1333,MA3Bi2I9,4.1,,0.68,,9.2,,52.0,"(52.0, None)"
1334,Cs3Sb2I9,2.8,,0.58,,7.9,,41.0,"(41.0, None)"
1335,MA3Sb2I9,3.5,,0.65,,8.8,,48.0,"(48.0, None)"
1336,Perovskite,16.64,,1.07,,20.68,,75.51,"(75.51, None)"
1337,CH3NH3PbI3,4.01,,0.87,,11.2,,40.0,"(40.0, None)"
1338,NC-1,3.79,,0.683,,8.07,,68.8,"(68.8, None)"
1339,NC-2,4.22,,0.694,,8.45,,71.89999999999999,"(71.89999999999999, None)"
1340,NC-3,3.32,,0.671,,6.68,,74.0,"(74.0, None)"
1341,NC-4,2.38,,0.637,,5.06,,73.9,"(73.9, None)"
1342,MAPbI3/p-TiO2,0.7,,0.38,,5.96,,28.999999999999996,"(28.999999999999996, None)"
1343,MAPbI3/m-TiO2,3.2,,0.66,,11.72,,41.0,"(41.0, None)"
1344,BO-DPP-BTZ,0.89,,0.81,,2.4,,48.0,"(48.0, None)"
1345,P1/PCBM,0.91,,0.86,,2.23,,48.0,"(48.0, None)"
1346,OT1:P3HT,0.07,,0.36,,0.69,,28.000000000000004,"(28.000000000000004, None)"
1347,OT1:PCBM,0.75,,0.62,,3.25,,37.0,"(37.0, None)"
1348,OT2:P3HT,0.19,,0.71,,0.72,,36.0,"(36.0, None)"
1349,PCBM-Ph-P3HT:P3HT:PCBM,3.4,,0.63,,9.92,,60.0,"(60.0, None)"
1350,NT (TiO2 NT arrays/Ti mesh),1.52,,0.68,,7.04,,32.0,"(32.0, None)"
1351,NW (TiO2 NW arrays/Ti mesh),0.85,,0.61,,3.36,,47.0,"(47.0, None)"
1352,HNW (TiO2 HNW arrays/Ti mesh),1.76,,0.72,,7.24,,34.0,"(34.0, None)"
1353,Ph-BDD,13.64,,0.86,,24.07,,65.0,"(65.0, None)"
1354,C4Ph-BDD,11.37,,0.88,,21.33,,60.0,"(60.0, None)"
1355,CsPbI2Br,10.95,,1.202,,12.64,,71.0,"(71.0, None)"
1356,CsPbI2Br,9.14,,1.145,,12.88,,62.0,"(62.0, None)"
1357,P3FTBT1O6:PC71BM blend film,5.73,,1.02,,9.83,,52.2,"(52.2, None)"
1358,TiC,4.13,,0.64,,9.77,,66.0,"(66.0, None)"
1359,PM6:BTP-γ-Ar3F,17.42,,0.904,,25.72,,74.92,"(74.92, None)"
1360,P3HT:β-[70]PCBM,3.69,,0.554,,11.6,,57.4,"(57.4, None)"
1361,N/A,7.91,,0.87,0.04,16.26,0.3,56.00000000000001,"(56.00000000000001, 0.03)"
1362,PTAA,19.33,,1.06,,23.02,,79.5,"(79.5, None)"
1363,DEG-PTAA,20.81,,1.1,,23.13,,81.8,"(81.8, None)"
1364,TEG-PTAA,20.57,,1.1,,23.04,,81.2,"(81.2, None)"
1365,DEG-PTAA,22.26,,1.12,,23.73,,84.0,"(84.0, None)"
1366,TiO2 nanoparticle layer,7.0,,0.7,,10.0,,70.0,"(70.0, None)"
1367,Graphene/Pt composite fibers,8.5,,0.8,,15.0,,60.0,"(60.0, None)"
1368,CH3NH3PbI3,15.47,,1.005,,21.27,,72.35,"(72.35, None)"
1369,PBTT4BT,5.6,,0.72,,11.58,,67.0,"(67.0, None)"
1370,PBTT4BT/PC71BM,5.6,,0.72,,11.58,,67.0,"(67.0, None)"
1371,PBTT4BO,2.9,,0.75,,7.14,,54.0,"(54.0, None)"
1372,1:PC71BM (1:3),0.35,,0.58,,1.55,,32.0,"(32.0, None)"
1373,2:PC71BM (1:3),0.59,,0.62,,3.66,,35.0,"(35.0, None)"
1374,3:PC71BM (1:3),1.16,,0.68,,5.25,,36.0,"(36.0, None)"
1375,4:PC71BM (1:3),1.49,,0.56,,6.76,,37.0,"(37.0, None)"
1376,5:PC71BM (1:3),1.53,,0.71,,6.17,,35.0,"(35.0, None)"
1377,PTPBI,1.37,,0.86,,3.81,,42.0,"(42.0, None)"
1378,CH3NH3PbI3,17.31,,1.1,,21.27,,74.0,"(74.0, None)"
1379,C:C:CH3NH3PbI3,20.1,,1.1,,24.34,,75.0,"(75.0, None)"
1380,J52:NOE10,8.7,,0.79,,15.1,,73.0,"(73.0, None)"
1381,J52-F:NOE10,8.3,,0.9,,12.9,,71.0,"(71.0, None)"
1382,J52-FS:NOE10,3.9,,0.93,,7.9,,53.0,"(53.0, None)"
1383,PbS,9.52,,0.554,,27.34,,62.6,"(62.6, None)"
1384,PbS,11.18,,0.593,,27.55,,66.82,"(66.82, None)"
1385,MAPbI3,17.39,,1.09,,20.97,,76.3,"(76.3, None)"
1386,MAPbI3,18.88,,1.12,,22.14,,76.29,"(76.29, None)"
1387,MAPbI3,20.07,,1.13,,23.05,,76.98,"(76.98, None)"
1388,ZR1-C3:BTP-C11-N2Cl,11.01,,0.89,,20.06,,61.23,"(61.23, None)"
1389,ZR1-C3:BTP-C9-N2F,11.44,,0.9,,20.02,,62.89,"(62.89, None)"
1390,ZR1-C3:BTP-C9-N4F,14.29,,0.86,,23.63,,69.75,"(69.75, None)"
1391,Stoichiometric,13.0,,1.07,,17.0,,75.0,"(75.0, None)"
1392,(EA)2(MA)n−1PbnI3n+1,9.46,,1.031,,18.21,,50.4,"(50.4, None)"
1393,PTB7:PC71BM:SMPV1,8.83,,0.72,,16.2,,76.0,"(76.0, None)"
1394,PEDOT:PSS/PEI,12.42,,0.95,,17.88,,73.1,"(73.1, None)"
1395,FTO/TiO2,14.38,,1.01,,19.42,,73.3,"(73.3, None)"
1396,ITO/PEDOT:PSS,13.45,,0.93,,19.21,,75.2,"(75.2, None)"
1397,ZnO/CdS/Ag2S,7.6,,0.72,,17.65,,59.8,"(59.8, None)"
1398,CsPbBr3,5.47,,1.21,,6.21,,86.0,"(86.0, None)"
1399,CsPbBr3,5.86,,1.34,,6.46,,102.0,"(102.0, None)"
1400,CsPbBr3,6.1,,1.38,,7.13,,161.0,"(161.0, None)"
1401,CsPbBr3,9.72,,1.458,,8.12,,113.0,"(113.0, None)"
1402,CsPbBr3,10.17,,1.461,,9.24,,138.0,"(138.0, None)"
1403,CsPbBr3,8.86,,1.52,,7.24,,129.0,"(129.0, None)"
1404,N/A,8.05,,0.79,,15.92,,64.3,"(64.3, None)"
1405,N/A,9.36,,0.8,,16.35,,71.8,"(71.8, None)"
1406,N/A,8.62,,0.79,,16.67,,65.2,"(65.2, None)"
1407,N/A,7.93,,0.8,,16.27,,61.2,"(61.2, None)"
1408,C60@COP-SWCNT,0.16,,0.47,,1.4,,24.0,"(24.0, None)"
1409,TPA-BTD-NPI:PC71BM (1:1),2.21,,0.94,,6.18,,38.0,"(38.0, None)"
1410,TPA-BTD-NPI:PC71BM (1:1),6.67,,0.9,,11.24,,66.0,"(66.0, None)"
1411,"(Li, Cu):NiOx",18.16,,1.06,,22.02,,78.0,"(78.0, None)"
1412,Zn-5,3.1,,0.7,,5.6,,78.0,"(78.0, None)"
1413,SnO2–MgO (15 wt%),3.71,,0.619,,10.53,,57.0,"(57.0, None)"
1414,PM6:IT-4F,9.87,,0.81,,17.08,,70.0,"(70.0, None)"
1415,PM6:Y6,11.2,,0.81,,21.3,,65.0,"(65.0, None)"
1416,2D MASnBr3,23.46,,2.64,,9.4,,94.0,"(94.0, None)"
1417,PBDB-T:IEICO (1:1),12.63,,1.05,,21.82,,55.13,"(55.13, None)"
1418,PBDB-T:IEICO (1:0.9),13.52,,1.05,,22.35,,57.63,"(57.63, None)"
1419,PBDB-T:IEICO (1:0.8),14.48,,1.06,,22.75,,60.06,"(60.06, None)"
1420,PBDB-T:IEICO (1:0.7),15.47,,1.07,,23.11,,62.57,"(62.57, None)"
1421,PBDB-T:IEICO (1:0.6),13.74,,1.06,,21.68,,59.77,"(59.77, None)"
1422,TiO2,6.63,,0.71,,14.55,,64.0,"(64.0, None)"
1423,TiO2,6.5,,0.7,,14.71,,63.0,"(63.0, None)"
1424,TiO2,5.96,,0.69,,13.39,,65.0,"(65.0, None)"
1425,DTS(Oct)2-(2T-DCV)2:PC70BM (1:2.5),1.1,,0.78,,2.6,,40.4,"(40.4, None)"
1426,DTS(Oct)2-(2T-DCV-Me)2:PC70BM (1:0.8),4.5,,0.85,,7.7,,60.8,"(60.8, None)"
1427,DTS(Oct)2-(2T-DCV-Et)2:PC70BM (1:2),3.4,,0.9,,8.2,,43.5,"(43.5, None)"
1428,DTS(Oct)2-(2T-DCV-Hex)2:PC70BM (1:3),1.9,,0.95,,5.7,,35.0,"(35.0, None)"
1429,DTS(EtHex)2-(2T-DCV-Me)2:PC70BM (1:2.5),2.6,,0.88,,4.8,,51.9,"(51.9, None)"
1430,DTS(Dec)2-(2T-DCV-Me)2:PC70BM (1:0.5),3.6,,0.84,,7.0,,53.7,"(53.7, None)"
1431,DTS(Oct)2-(2T-DCV-Me)2,6.3,,0.9,,9.7,,67.0,"(67.0, None)"
1432,DTS(Oct)2-(2T-DCV-Me)2,6.4,,0.88,,10.1,,66.3,"(66.3, None)"
1433,IT-4F,15.94,,1.037,,20.49,,75.03,"(75.03, None)"
1434,IT-4H,17.04,,1.072,,20.68,,76.83,"(76.83, None)"
1435,IT-4M,17.65,,1.083,,21.19,,76.86,"(76.86, None)"
1436,PCBM,17.6,,1.088,,21.09,,76.68,"(76.68, None)"
1437,PCBM:CQDs,18.1,,0.97,,22.3,,79.6,"(79.6, None)"
1438,0.1O,4.1,,0.8,,7.2,,71.1,"(71.1, None)"
1439,0.05O,6.7,,0.792,,12.7,,66.6,"(66.6, None)"
1440,0.2TO,6.5,,0.796,,11.9,,68.6,"(68.6, None)"
1441,0.1TO,7.4,,0.794,,13.8,,67.5,"(67.5, None)"
1442,0.05TO,7.7,,0.768,,14.9,,67.2,"(67.2, None)"
1443,PTB7:PC71BM,7.72,,0.74,,15.04,,68.81,"(68.81, None)"
1444,PTB7:PC71BM,8.72,,0.72,,18.11,,65.7,"(65.7, None)"
1445,PTB7:PC71BM,9.93,,0.74,,18.85,,68.85,"(68.85, None)"
1446,PbS CQDs,2.9,,0.47,,14.2,,47.0,"(47.0, None)"
1447,PHT-EHp:Y6,7.7,,0.77,,23.0,,43.3,"(43.3, None)"
1448,PFT-EHp:Y6,15.4,,0.78,,26.9,,72.7,"(72.7, None)"
1449,PClT-EHp:Y6,15.8,,0.8,,27.3,,72.6,"(72.6, None)"
1450,PClT-EHp:Y6DT,16.4,,0.84,,25.8,,75.8,"(75.8, None)"
1451,J51:IDSe-T-IC,8.58,,0.91,,15.2,,62.0,"(62.0, None)"
1452,N/A,18.67,,1.883,,13.99,,70.88,"(70.88, None)"
1453,NiO,4.1,,0.91,,6.73,,66.0,"(66.0, None)"
1454,MoS2,4.43,,0.51,,27.7,,32.0,"(32.0, None)"
1455,MoS2,6.56,,0.5,,28.1,,47.0,"(47.0, None)"
1456,PBNP-S:Y6,14.31,,0.802,,22.65,,65.3,"(65.3, None)"
1457,PBNT-S:Y6,11.1,,0.798,,23.0,,60.5,"(60.5, None)"
1458,PBNP-S:Y6,11.86,,0.81,,25.5,,69.4,"(69.4, None)"
1459,PW30,7.81,,0.928,,15.82,,53.6,"(53.6, None)"
1460,BDT-S-fPP:PC71BM,3.15,,0.84,,9.1,,41.0,"(41.0, None)"
1461,BDT-S-fPP:PC71BM (1.2% DIO),6.2,,0.8,,13.85,,56.00000000000001,"(56.00000000000001, None)"
1462,N/A,5.16,,0.68,,10.84,,70.0,"(70.0, None)"
1463,Eu1/N719,8.1,,0.77,,16.91,,62.0,"(62.0, None)"
1464,Eu2/N719,8.3,,0.77,,17.37,,62.0,"(62.0, None)"
1465,P3HT:PCBM,2.96,,0.57,,9.02,,56.99999999999999,"(56.99999999999999, None)"
1466,P3HT:PCBM:Ir(ppy)3,0.81,,0.42,,4.06,,47.0,"(47.0, None)"
1467,P3HT-NF:PCBM,2.37,,0.68,,6.3,,55.00000000000001,"(55.00000000000001, None)"
1468,P3HT-NF:PCBM:Ir(ppy)3,2.49,,0.67,,6.75,,55.00000000000001,"(55.00000000000001, None)"
1469,NRs (nanorod arrays),2.18,,0.55,,10.7,,37.0,"(37.0, None)"
1470,MPs (microplate-like structures),2.55,,0.55,,11.9,,39.0,"(39.0, None)"
1471,NSs (nanosheet-like networks),1.36,,0.54,,8.1,,31.0,"(31.0, None)"
1472,NFs (dense porous nanofibrous-like networks),3.78,,0.57,,14.4,,46.0,"(46.0, None)"
1473,PBDB-T:INPIC-4F,13.1,,0.85,,21.9,,69.8,"(69.8, None)"
1474,PBDB-T:INPIC-EH,11.9,,0.84,,20.7,,68.4,"(68.4, None)"
1475,PBDB-T:INPIC-BO,11.2,,0.84,,20.0,,66.8,"(66.8, None)"
1476,P(QP-TT),0.7,,0.73,,3.23,,30.0,"(30.0, None)"
1477,P(QP-TT-Zn),0.85,,0.68,,4.0,,31.0,"(31.0, None)"
1478,P(QP-TT-Zn),3.51,,0.79,,8.85,,50.0,"(50.0, None)"
1479,CB–EMII/EMIBF4,3.09,,0.627,,8.25,,60.0,"(60.0, None)"
1480,MWCNT–EMII/EMIBF4,3.53,,0.624,,8.44,,67.0,"(67.0, None)"
1481,SWCNT–EMII/EMIBF4,4.01,,0.62,,9.74,,66.0,"(66.0, None)"
1482,PBDTDTSi-1,3.29,,1.07,,7.53,,41.0,"(41.0, None)"
1483,N/A,2.74,,0.595,,7.08,,65.0,"(65.0, None)"
1484,N/A,2.51,,0.592,,6.42,,66.0,"(66.0, None)"
1485,Meso,13.5,,0.99,,20.28,,66.0,"(66.0, None)"
1486,Meso-planar hybrid (meso/planar = 1.08),10.76,,0.86,,19.63,,68.9,"(68.9, None)"
1487,Meso-planar hybrid (meso/planar = 0.77),6.93,,0.81,,14.99,,56.9,"(56.9, None)"
1488,Planar,6.29,,0.9,,14.67,,47.4,"(47.4, None)"
1489,HP,2.0,,0.546,,4.9,,74.3,"(74.3, None)"
1490,EHOP,3.6,,0.548,,9.6,,68.9,"(68.9, None)"
1491,HOP,4.7,,0.617,,11.8,,65.1,"(65.1, None)"
1492,HP + PTZ1,5.0,,0.593,,10.9,,76.6,"(76.6, None)"
1493,EHOP + PTZ1,6.1,,0.632,,13.4,,72.2,"(72.2, None)"
1494,HOP + PTZ1,7.6,,0.678,,15.9,,70.3,"(70.3, None)"
1495,PTB7-Th:PC61BM,5.6,,0.777,,13.5,,54.0,"(54.0, None)"
1496,TPBi,0.7,,0.29,,9.0,,28.0,"(28.0, None)"
1497,CH3NH3PbI3,11.58,,0.97,,18.13,,65.87,"(65.87, None)"
1498,Glass/ITO,0.27,,0.606,,1.78,,25.0,"(25.0, None)"
1499,PEN/ITO,0.03,,0.12,,0.92,,29.0,"(29.0, None)"
1500,P3HT/PCBM (PHJrif),0.15,,0.48,,0.82,,38.0,"(38.0, None)"
1501,tc-PHJ2-like structure,0.5,,0.6,,2.21,,38.0,"(38.0, None)"
1502,P3HT:F8BT/PCBM,0.35,,0.57,,1.99,,30.0,"(30.0, None)"
1503,P3HT:F8BT/PCBM thinner,0.13,,0.6,,0.61,,36.0,"(36.0, None)"
1504,P3HT,6.11,,0.91,,13.2,,63.0,"(63.0, None)"
1505,ZnO NWs + ZnO HMSPs + CdS,2.35,,0.511,,9.01,,51.0,"(51.0, None)"
1506,ZnO HMSPs + CdS,1.53,,0.49,,7.11,,44.0,"(44.0, None)"
1507,bare ZnO NWs + CdS,0.59,,0.33,,5.52,,32.0,"(32.0, None)"
1508,N/A,3.83,,13.0,,0.85,,191.0,"(191.0, None)"
1509,BBIN-1,18.94,,1.06,,23.77,,75.17,"(75.17, None)"
1510,BBIN-2,19.36,,1.06,,23.6,,77.1,"(77.1, None)"
1511,BBIN-3,17.94,,1.04,,23.75,,72.59,"(72.59, None)"
1512,PC61BM,18.78,,1.04,,23.94,,75.37,"(75.37, None)"
1513,2BrPXZPA,23.66,,1.21,,23.52,,82.45,"(82.45, None)"
1514,2BrPTZPA,22.49,,1.19,,23.4,,80.76,"(80.76, None)"
1515,NiOx,20.55,,1.1,,23.23,,80.42,"(80.42, None)"
1516,2BrPTZPA,22.06,,1.18,,23.36,,80.02,"(80.02, None)"
1517,2BrPXZPA,22.93,,1.19,,23.59,,81.69,"(81.69, None)"
1518,ZnO,0.02,,0.55,,0.32,,14.000000000000002,"(14.000000000000002, None)"
1519,ZnO-SnO2 composite,0.03,,0.6,,0.33,,17.0,"(17.0, None)"
1520,SnO2,1.65,,0.57,,5.7,,50.0,"(50.0, None)"
1521,PCDTBT:PC71BM with TiOx layer,5.56,,0.84,,10.5,,63.0,"(63.0, None)"
1522,PCDTBT:PC71BM with TiOx/Ag,4.55,,0.84,,10.1,,55.00000000000001,"(55.00000000000001, None)"
1523,PCDTBT:PC71BM with TiOx/Au,3.15,,0.84,,9.5,,40.0,"(40.0, None)"
1524,PBDB-TF:BTP-eC9:BTP-S2,18.7,,0.878,,26.78,,79.44,"(79.44, None)"
1525,PBDB-TF:BTP-eC9:BTP-S2,18.3,,0.878,,26.55,,78.57,"(78.57, None)"
1526,ZnO,9.58,,0.86,,15.75,,71.0,"(71.0, None)"
1527,Bis-FPPI:PFN-Br (1:1 v/v),10.01,,0.85,,17.09,,69.0,"(69.0, None)"
1528,Bis-FIMG,10.82,,0.91,,16.57,,72.0,"(72.0, None)"
1529,Bis-FITG,8.99,,0.88,,15.65,,65.0,"(65.0, None)"
1530,PFN-Br,10.06,,0.91,,15.13,,73.0,"(73.0, None)"
1531,CZTS,4.92,,0.5127999999999999,,18.55,,51.74,"(51.74, None)"
1532,ZnO/ZnSe/CdSe nanocables,3.56,,0.652,,13.57,,40.0,"(40.0, None)"
1533,Cu2ZnSnS4 (CZTS),6.4,,0.65,,18.63,,53.0,"(53.0, None)"
1534,Cu2ZnSnS4 (CZTS),3.7,,0.57,,13.38,,48.0,"(48.0, None)"
1535,Perovskite,20.1,,1.144,,24.21,,72.5,"(72.5, None)"
1536,Perovskite with V2CTx,23.47,,1.175,,25.03,,79.9,"(79.9, None)"
1537,PQTTST/PC60BM,1.49,,0.72,,4.77,,43.0,"(43.0, None)"
1538,BTR-F:M36:N2200,12.19,,0.894,,21.29,,64.01,"(64.01, None)"
1539,BTR-F:M36,10.14,,0.892,,20.01,,56.83,"(56.83, None)"
1540,BTR-F:N2200,0.82,,0.936,,1.51,,57.78,"(57.78, None)"
1541,BO2FC8:m-ITIC-OR-4Cl,11.0,,0.83,,20.2,,63.3,"(63.3, None)"
1542,BO2FEH:m-ITIC-OR-4Cl,6.4,,0.88,,14.4,,48.5,"(48.5, None)"
1543,PffBT4T-2OD,8.9,,0.76,,17.0,,69.0,"(69.0, None)"
1544,PffBT4T-2OD,8.2,,0.76,,15.9,,67.0,"(67.0, None)"
1545,PffBT4T-2OD,2.78,,0.91,,6.8,,45.0,"(45.0, None)"
1546,CH3NH3PbI3 (MAPbI3) perovskite,19.19,,1.12,,22.52,,77.0,"(77.0, None)"
1547,CuInS2,0.26,,0.36,,0.225,,32.6,"(32.6, None)"
1548,CuInS2,0.11,,0.325,,0.572,,61.4,"(61.4, None)"
1549,ZnO NRs,0.93,,0.618,,3.35,,45.0,"(45.0, None)"
1550,ZnO NRs + ellipsoids,2.26,,0.588,,7.41,,52.0,"(52.0, None)"
1551,ZnO NRs + spheres,3.19,,0.555,,10.66,,54.0,"(54.0, None)"
1552,NaH2PO2,19.92,,1.08,,22.98,,80.13,"(80.13, None)"
1553,KH2PO2,18.91,,1.06,,22.16,,80.62,"(80.62, None)"
1554,SCSC,17.5,,1.01,,22.11,,75.53,"(75.53, None)"
1555,SP,14.8,,0.95,,21.77,,71.35,"(71.35, None)"
1556,SR,16.18,,0.99,,21.82,,74.36,"(74.36, None)"
1557,SC,16.2,,1.04,,21.13,,73.95,"(73.95, None)"
1558,ZP,15.32,,1.03,,20.2,,73.68,"(73.68, None)"
1559,Perovskite,15.37,,0.98,,21.88,,69.0,"(69.0, None)"
1560,Perovskite,16.03,,1.0,,22.27,,72.0,"(72.0, None)"
1561,P3HT,0.79,,1.02,,2.15,,36.0,"(36.0, None)"
1562,P3HT,2.24,,0.87,,6.77,,38.0,"(38.0, None)"
1563,CB-Si3N4-3%,8.06,,0.74,0.01,17.24,0.14,63.06,"(63.06, 0.89)"
1564,CB-Si3N4-3%,8.37,,0.74,0.0,15.91,0.05,70.91,"(70.91, 0.11)"
1565,Porous ZnO nanoplates,5.05,,0.628,,14.4,,55.8,"(55.8, None)"
1566,Porous ZnO nanoplates,4.25,,0.626,,13.1,,51.8,"(51.8, None)"
1567,Porous ZnO nanoplates,2.95,,0.62,,8.9,,53.5,"(53.5, None)"
1568,"poly(2-(5-(5,6-bis(octyloxy)-4-(thiophen-2-yl)benzo[c])[1,2,5]thiadiazol-7-yl)thiophen-2-yl)-vinylene) (POTBTV)",1.53,,0.6,,6.83,,37.4,"(37.4, None)"
1569,PIDT-FQ,4.6,,0.9,,9.2,,55.6,"(55.6, None)"
1570,P1,0.82,,0.74,,2.52,,36.0,"(36.0, None)"
1571,P2,1.35,,0.75,,4.97,,36.5,"(36.5, None)"
1572,P3,1.92,,0.76,,6.76,,38.6,"(38.6, None)"
1573,QDs,4.7,,0.608,,14.06,,55.0,"(55.0, None)"
1574,QDs,4.18,,0.594,,13.04,,53.9,"(53.9, None)"
1575,PTB7-Th:ACS8,13.2,,0.75,,25.3,,69.3,"(69.3, None)"
1576,P3HT:NCBA,2.8,,0.73,,5.9,,65.1,"(65.1, None)"
1577,N/A,1.0,,0.81,,2.36,,52.0,"(52.0, None)"
1578,Cs0.15FA0.85Pb(I0.95Br0.05)3,22.8,,1.16,,23.8,,82.6,"(82.6, None)"
1579,HNR Seq-MAI,10.5,,0.94696,,17.33,,64.0,"(64.0, None)"
1580,Tetra-PDI,0.12,,0.32,,0.9,,41.0,"(41.0, None)"
1581,"H-1, H-2, H-3, H-4, H-5",3.66,,0.68,,8.7,,62.0,"(62.0, None)"
1582,PM6:Y6,12.41,,0.817,,20.73,,73.34,"(73.34, None)"
1583,Donor 1,3.3,,0.8,,7.0,,52.0,"(52.0, None)"
1584,TiO2,15.87,,1.016,,23.92,,65.3,"(65.3, None)"
1585,Ti-Zn-O,17.01,,1.035,,24.61,,66.8,"(66.8, None)"
1586,Ti-Ba-O,4.88,,0.957,,15.01,,34.0,"(34.0, None)"
1587,Methylammonium lead iodide (CH3NH3PbI3),9.3,,0.87,,19.71,,55.00000000000001,"(55.00000000000001, None)"
1588,MAPbI3,18.9,,1.04,,23.16,,80.0,"(80.0, None)"
1589,Mg-PbS,4.4,,0.6,,11.8,,62.3,"(62.3, None)"
1590,PM6:AC174:Y6,17.2,,0.817,,28.4,,74.1,"(74.1, None)"
1591,PM6:Y6,15.9,,0.812,,26.6,,73.5,"(73.5, None)"
1592,PBDTA-INDI,2.83,,0.93,,6.9,,44.0,"(44.0, None)"
1593,PBDTT-INDI,4.13,,0.96,,8.98,,47.1,"(47.1, None)"
1594,P1,5.4,,0.74,,11.6,,63.0,"(63.0, None)"
1595,P2,6.1,,0.76,,11.26,,72.0,"(72.0, None)"
1596,P3,7.4,,0.82,,12.28,,73.0,"(73.0, None)"
1597,PBDBPBI-Se,6.25,,0.85,,12.68,,57.99999999999999,"(57.99999999999999, None)"
1598,PTB7-Th:PCDTBT:ITIC,7.51,,0.8,,16.71,,55.91,"(55.91, None)"
1599,TiO2 NWs,8.2,,0.72,,15.6,,68.0,"(68.0, None)"
1600,MWCNT-TiO2 composite NWs,9.5,,0.71,,16.8,,72.0,"(72.0, None)"
1601,SM-3,2.05,,0.97,,4.91,,43.0,"(43.0, None)"
1602,SM-4,1.2,,1.1,,2.42,,45.0,"(45.0, None)"
1603,SM-5,2.3,,1.17,,3.16,,62.0,"(62.0, None)"
1604,SM-6,0.83,,1.17,,1.43,,50.0,"(50.0, None)"
1605,SM-7,1.16,,1.08,,2.06,,52.0,"(52.0, None)"
1606,SM-8,3.17,,1.18,,5.35,,50.0,"(50.0, None)"
1607,SM-9,2.37,,0.97,,6.25,,39.0,"(39.0, None)"
1608,SM-10,1.2,,1.18,,2.68,,38.0,"(38.0, None)"
1609,SM-11,3.63,,1.1,,6.96,,48.0,"(48.0, None)"
1610,SM-12,3.86,,1.18,,5.17,,64.0,"(64.0, None)"
1611,SM-13,5.16,,1.14,,8.29,,55.00000000000001,"(55.00000000000001, None)"
1612,MAPbI3−xClx,12.6,,0.88,,21.6,,66.0,"(66.0, None)"
1613,MoS2,7.01,,0.68,,18.46,,57.99999999999999,"(57.99999999999999, None)"
1614,Quadruple cation perovskite,20.3,,1.175,,22.0,,77.6,"(77.6, None)"
1615,SQ dye 12,5.2,,0.92,,12.0,,50.0,"(50.0, None)"
1616,SQ dye 8,4.55,,0.7,,10.0,,60.0,"(60.0, None)"
1617,SQ dye 45,4.6,,0.75,,8.0,,65.0,"(65.0, None)"
1618,CH3NH3PbI3,17.74,,1.09,,21.25,,76.6,"(76.6, None)"
1619,CH3NH3PbI3,17.42,,1.09,,20.87,,76.6,"(76.6, None)"
1620,CH3NH3PbI3,17.17,,1.09,,20.57,,76.6,"(76.6, None)"
1621,P1,3.3,,0.82,,8.29,,49.0,"(49.0, None)"
1622,P2,3.14,,0.78,,8.77,,46.0,"(46.0, None)"
1623,P3,4.42,,0.64,,13.01,,53.0,"(53.0, None)"
1624,P4,3.75,,0.62,,11.91,,51.0,"(51.0, None)"
1625,QxT,5.17,,0.76,,11.35,,60.0,"(60.0, None)"
1626,QxO:PC71BM-annealed,3.1,,0.73,,7.16,,60.0,"(60.0, None)"
1627,QxO:PC71BM-DIO,2.49,,0.69,,7.41,,53.0,"(53.0, None)"
1628,QxT:PC71BM-annealed,5.17,,0.76,,11.35,,60.0,"(60.0, None)"
